motis_id,motis_name,wikidata_id
10836,"Albtal-Verkehrs-Gesellschaft",Q896547
7674,"Bus VBK",Q644958
7672,"Tram VBK",Q644958
7502,"Anrufsammeltaxi",null
10251,BUS,null
7667,Bus Wöhrle,Q133881002
7671,Taxiverkehre,null
7685,Nicht in MVV integriert,null
795,enno,Q22674548
7941,Sonstige Private im VRN,null
7942,Private nicht im VRN,null
10930,enno,Q22674548
10931,metronom,Q265228
605,NordWestBahn,Q314293
606,metronom Eisenbahngesellschaft mbH,Q265228
607,erixx,Q1354909
608,cantus Verkehrsgesellschaft,Q1033911
10907,cantus Verkehrsgesellschaft,Q1033911
13424,cantus Verkehrsgesellschaft,Q1033911
10998,"Hochbahn Bus",Q6442
10996,"Hochbahn U-Bahn",Q6442
10375,"S-Bahn Hamburg",Q99869216
12681,"DB Fernverkehr AG",Q452140
1322,"DB Fernverkehr (Codesharing)",Q452140
2155,"eurobahn",Q589575
2456,"eurobahn",Q589575
13221,"Bus SEV, nur Abellio, DB Regio, Go-Ahead",null
554,"üstra Hannoversche Verkehrsbetriebe AG",Q265625
11,"Schweizerische Bundesbahnen SBB",Q83835
351,"SBB GmbH (Grenzverkehr)",Q1254047
10822,"SBB GmbH",Q1254047
L7____,"SBB GmbH",Q1254047
12827,"Go-Ahead Verkehrsgesellschaft Deutschland mbH",Q30644989
13631,"Go-Ahead Baden-Württemberg GmbH",Q64212458
13786,"Go-Ahead Bayern GmbH",Q64212458
7996,Privatunternehmer-Bus (VVS),null
7998,Nachtbus (Region),null
7999,Privatunternehmer-Bus (nicht VVS),null
7997,Nachtbus (SSB),Q2359602
7994,Zahnrad-/Seilbahn,Q2359602
7993,Stadtbahn,Q2359602
14172,SWEG Bahn Stuttgart,Q27649273
11071,Friedrich Müller Omnibus GmbH,Q2023445
14222,Friedrich Müller Omnibus im KVSH,Q2023445
13477,Bus (SSB),Q2359602
10951,vlexx,Q18536938
10952,vlexx1,Q18536938
10953,vlexx2,Q18536938
10918,DB Fernverkehr (Codesharing),Q452140
4,Deutsche Bahn AG,Q9322
06____,DB Regio AG Baden-Württemberg,Q64504641
1,S-Bahn Berlin GmbH,Q12374454
10305,FS Omnibus GmbH & Co. KG,Q1420324
10376,Nahreisezug,null
10434,DB Regio AG Nordost,Q50300033
10435,DB Regio AG Nord,Q62594047
10436,DB Regio AG NRW,Q1152084
10437,DB Regio AG Südost,Q1152091
10438,DB RegioNetz Verkehrs GmbH Erzgebirgsbahn,Q1366149
10440,DB Regio AG Mitte Region Hessen,Q60894917
10441,DB RegioNetz Verkehrs GmbH Kurhessenbahn,Q1793083
10442,DB RegioNetz Verkehrs GmbH Westfrankenbahn,Q1662213
10443,DB Regio AG Baden-Württemberg,Q64504641
10444,DB ZugBus Regionalverkehr Alb-Bodensee,Q1152130
10445,SÜWEX,Q20007080
10446,DB Regio AG Bayern,Q1152076
10448,DB RegioNetz Verkehrs GmbH Südostbayernbahn,Q1660947
10449,DB Regio AG Mitte Region Südwest,Q60894917
108,DB Regio AG,Q18853
10833,AKN Eisenbahn AG,Q266805
10835,Rhenus Veniro,Q1121384
10838,agilis,Q393786
10913,National Express,Q19296997
10932,VIAS GmbH,Q2521737
10933,VIAS Rail GmbH,Q2521737
10937,Pressnitztalbahn,Q1311329
10939,Südwestdeutsche Verkehrs-AG,Q2381732
10940,agilis-Schnellzug,Q393786
10941,Süd-Thüringen-Bahn Express,Q2380325
10942,Süd-Thüringen-Bahn,Q2380325
10946,MittelrheinBahn (Trans Regio),Q2448840
10964,waldbahn - Die Länderbahn GmbH DLB,Q2541126
12030,DB Regio Bus Nord GmbH,Q26277121
12201,DB Regio AG S-Bahn Rhein-Main,Q705684
12796,DB Regio Mitte,Q60894917
13422,DB Regio AG Mitte,Q60894917
13776,S-Bahn Hannover,Q79876049
13876,DB Regio Bus Mitte1,Q68308888
14126,DB Regio Bus Ost GmbH1,Q19309329
14524,DB Regio Bus Mitte GmbH1,Q68308888
14533,DB Regio Bus Rhein-Mosel GmbH,Q68308888
1456,Nahreisezug,null
14619,DB Regio Bus Mitte GmbH im RNN,Q68308888
14637,SWEG Bus Tübingen,Q2381732
14802,DB Regio Bus Mitte GmbH H/BW,Q68308888
1689,DB Regio AG Nord,Q62594047
2506,S-Bahn Hannover (Transdev),Q79876049
7670,Bus SWEG,Q2381732
772,DB Regio Bus Ost GmbH,Q19309329
7872,DB-Nahverkehr,Q18853
800693,DB Regio AG Baden-Württemberg,Q64504641
9287,DB Regio Bus Mitte,Q68308888
